id	title	type	default	category	description	options
attr_merchant_knife_primary_stats	Merchant Knife Primary Stats	string	VEIL/EDGE	class_core	Primary stat pair: VEIL and EDGE.	[]
attr_merchant_knife_hp_mod	Merchant Knife HP Modifier	number	10	class_core	HP formula modifier: FRAME x8 + 10.	[]
attr_merchant_knife_path	Merchant Knife Path	list	supply_cutter	subclass	Selected subclass path.	["supply_cutter","gilded_blade","kingmaker"]
attr_iron_herald_hand_size	Iron Herald Hand Size	number	7	class_core	Starting hand size for Iron Herald class.	[]
attr_iron_herald_primary_stats	Iron Herald Primary Stats	string	IRON/VEIL	class_core	Primary stat pair: IRON and VEIL.	[]
attr_iron_herald_hp_mod	Iron Herald HP Modifier	number	12	class_core	HP formula modifier: FRAME x8 + 12.	[]
attr_iron_herald_command_zone_active	Command Zone Active	boolean	false	resource	True when Command Zone is established; enables zone-synergy cards.	[]
attr_iron_herald_priority_target	Priority Target ID	string		resource	ID of current Priority Target; empty when unset.	[]
attr_iron_herald_command_zone_radius	Command Zone Radius	number	15	resource	Current Command Zone radius in feet; scales with level.	[]
attr_iron_herald_path	Iron Herald Path	list	warbanner	subclass	Selected subclass path.	["warbanner","neutral_tongue","the_signal"]
attr_curse_eater_hand_size	Curse Eater Hand Size	number	7	class_core	Starting hand size for Curse Eater class.	[]
attr_curse_eater_primary_stats	Curse Eater Primary Stats	string	RESONANCE/FRAME	class_core	Primary stat pair: RESONANCE and FRAME.	[]
attr_curse_eater_hp_mod	Curse Eater HP Modifier	number	14	class_core	HP formula modifier: FRAME x8 + 14.	[]
attr_curse_eater_loaded_count	Loaded Count	number	0	resource	Current Loaded status stacks on self; absorbed debuffs. Scales damage output.	[]
attr_curse_eater_corruption_points	Corruption Points	number	0	resource	Accumulated corruption; tracks Consumed subclass transformation pressure.	[]
attr_curse_eater_path	Curse Eater Path	list	purifier	subclass	Selected subclass path.	["purifier","conduit","the_consumed"]
attr_shell_dancer_hand_size	Shell Dancer Hand Size	number	7	class_core	Starting hand size for Shell Dancer class.	[]
attr_shell_dancer_primary_stats	Shell Dancer Primary Stats	string	EDGE/RESONANCE	class_core	Primary stat pair: EDGE and RESONANCE.	[]
attr_shell_dancer_hp_mod	Shell Dancer HP Modifier	number	10	class_core	HP formula modifier: FRAME x8 + 10.	[]
attr_shell_dancer_cascade_count	Cascade Count	number	0	resource	Current Cascade resource from 0 to 10; generated from taking damage.	[]
attr_shell_dancer_in_shell_step	In Shell Step	boolean	false	resource	True while Shell Step evasion state is active.	[]
attr_shell_dancer_shell_step_turns	Shell Step Turns Remaining	number	0	resource	Turns remaining in Shell Step state.	[]
attr_shell_dancer_path	Shell Dancer Path	list	the_breaker	subclass	Selected subclass path.	["the_breaker","the_survivor","the_scavenger"]
attr_fracture_knight_hand_size	Fracture Knight Hand Size	number	7	class_core	Starting hand size for Fracture Knight class.	[]
attr_fracture_knight_primary_stats	Fracture Knight Primary Stats	string	IRON/RESONANCE	class_core	Primary stat pair: IRON and RESONANCE.	[]
attr_fracture_knight_hp_mod	Fracture Knight HP Modifier	number	12	class_core	HP formula modifier: FRAME x8 + 12.	[]
attr_fracture_knight_phantom_charges	Phantom Charges	number	2	resource	Current Phantom Charges from 0 to 6; fuel for Between-sourced abilities.	[]
attr_fracture_knight_fracture_stacks_self	Fracture Stacks on Self	number	0	resource	Fracture stacks currently applied to this character; scales risk/reward abilities.	[]
attr_fracture_knight_path	Fracture Knight Path	list	the_claimed	subclass	Selected subclass path.	["the_claimed","haunted_legion","the_anchor"]
attr_unnamed_hand_size	Unnamed Hand Size	number	7	class_core	Starting hand size for The Unnamed class.	[]
attr_unnamed_primary_stats	Unnamed Primary Stats	string	IRON	class_core	Active stat shifts each combat; defined by player through play.	[]
attr_unnamed_hp_mod	Unnamed HP Modifier	number	10	class_core	HP formula modifier: FRAME x8 + 10.	[]
attr_unnamed_active_stat	Active Stat	list	IRON	resource	Current dominant stat for this combat; can shift with play.	["IRON","EDGE","SIGNAL","RESONANCE","VEIL","FRAME"]
attr_unnamed_path	Unnamed Path	list	convergent	subclass	Selected subclass path: Convergent (stable/deepening) or Divergent (shifting/expanding).	["convergent","divergent"]
attr_unnamed_card_1_condition	Card 1 Condition	string		lore_state	Player-defined unlock condition for Card 1.	[]
attr_unnamed_card_2_condition	Card 2 Condition	string		lore_state	Player-defined unlock condition for Card 2.	[]
attr_unnamed_card_3_condition	Card 3 Condition	string		lore_state	Player-defined unlock condition for Card 3.	[]
attr_unnamed_card_4_condition	Card 4 Condition	string		lore_state	Player-defined unlock condition for Card 4.	[]
attr_unnamed_card_5_condition	Card 5 Condition	string		lore_state	Player-defined unlock condition for Card 5.	[]
attr_unnamed_card_6_condition	Card 6 Condition	string		lore_state	Player-defined unlock condition for Card 6.	[]
attr_unnamed_card_7_condition	Card 7 Condition	string		lore_state	Player-defined unlock condition for Card 7.	[]
attr_unnamed_card_8_condition	Card 8 Condition	string		lore_state	Player-defined unlock condition for Card 8.	[]
attr_unnamed_card_9_condition	Card 9 Condition	string		lore_state	Player-defined unlock condition for Card 9.	[]
attr_unnamed_card_10_condition	Card 10 Condition	string		lore_state	Player-defined unlock condition for Card 10.	[]
attr_unnamed_card_11_condition	Card 11 Condition	string		lore_state	Player-defined unlock condition for Card 11.	[]
attr_unnamed_card_12_condition	Card 12 Condition	string		lore_state	Player-defined unlock condition for Card 12.	[]
attr_unnamed_card_13_condition	Card 13 Condition	string		lore_state	Player-defined unlock condition for Card 13.	[]
attr_unnamed_card_14_condition	Card 14 Condition	string		lore_state	Player-defined unlock condition for Card 14.	[]
