id	title	description	category	inventoryHeight	inventoryWidth	image	customProperties
card_oni_hunter_quarry_s_end	Quarry's End	After landing a hit against your Marked target, press the disruption. Apply one of (your choice): **Grounded** — their movement speed becomes 0 until their next turn (Root); **Disrupted** — they cannot use Tier 2 or 3 cards until their next turn (Stagger); **Exposed** — apply Expose 3 until the start of your next turn.	power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""2"",""cardType"":""Control"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Root"",""unlockLevel"":""7"",""startingHand"":""""}"
card_oni_hunter_quarry_s_weakness	Quarry's Weakness	You have studied the failure points of your common targets. Choose a type: Shell-states, Iron Afterlife entities, or heavily-enhanced humanoids. Against the chosen type, your attacks this combat apply Expose 1 on every hit. Additionally, once per combat, identify one target of the chosen type and gain one specific vulnerability about them (GM provides).	core_ability				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""1"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Expose 1"",""unlockLevel"":""1"",""startingHand"":""""}"
card_oni_hunter_refined_assessment	Refined Assessment	Your Dissolution Reading has become instantaneous and precise. Perform a rapid field assessment of one target this turn (free, as part of this card). Your next attack against the assessed target deals + RESONANCE additional damage, and apply Expose 2 — you know exactly where to press.	power				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""1"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Expose 2"",""unlockLevel"":""6"",""startingHand"":""""}"
card_oni_hunter_relentless_hunter	Relentless Hunter	Your Marked quarry cannot escape through ordinary means. When your Marked target uses a movement ability or card, you may make a Basic Attack against them as a free action (once per round). Magical, technological, and resonant concealment methods do not prevent your Hunter's Mark from tracking their location.	passive				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""1"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Mark"",""unlockLevel"":""5"",""startingHand"":""""}"
card_oni_hunter_resonance_trace	Resonance Trace	After a target escapes your reach or combat, read the resonance traces left by their passage. You learn their direction of travel and approximate movement speed, persisting for 24 hours. In active combat: apply Mark and Expose 1 to the target as you read their resonant trail in real time.	subclass				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""1"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Mark|Expose 1"",""unlockLevel"":""3"",""startingHand"":""""}"
card_oni_hunter_shell_state_disruption	Shell-State Disruption	When you hit a Shell-state or Resonance-Broken creature, apply Stagger — they cannot make reactions until the start of your next turn. Additionally, apply Expose 2 as you disrupt the enhancement cascade driving their behavior. This card may be played as a Reaction when a Shell-state attempts to act.	level_up				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""1"",""cardType"":""Control"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Stagger|Expose 2"",""unlockLevel"":""2"",""startingHand"":""""}"
card_oni_hunter_shell_sight	Shell Sight	You see the world as Shell-states see it — stripped of social signal, reduced to movement and threat. Until your next turn: you see through walls and obstacles up to 60 feet (movement patterns only), and your attacks deal + RESONANCE additional damage. You must make a RESONANCE check (GM-set difficulty) to take the Help action while Shell Sight is active — the stripped perception removes social context.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""2"",""cardType"":""Power"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""11"",""startingHand"":""""}"
card_oni_hunter_the_final_mark	The Final Mark	At the highest level of the Oni Hunter's practice, you have become the person who exists in the place where they hunt. Declare one target your Final Mark. For the rest of this combat: this target cannot be reduced to 0 HP by any source except you — all other damage stabilizes them at 1 HP. You always know their precise position. All your attacks against them deal + IRON + RESONANCE damage and apply Bleed 1 on every hit. When you finally strike them down, the dissolution is clean — they pass correctly, their Echomind intact. Once per combat.	capstone				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""3"",""cardType"":""Signature — Capstone"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Mark|Bleed 1"",""unlockLevel"":""20"",""startingHand"":""""}"
card_oni_hunter_the_last_quarry	The Last Quarry	You have hunted long enough to know what the last hunt feels like. Deal 24 + IRON + RESONANCE damage to your Marked target. Apply Expose 4, Bleed 3, and Vulnerable 2. Gain Regen 3 for 3 turns. If this attack reduces the target to 0 HP, you may immediately declare a new Final Mark as a free action.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""24"",""damageStat"":""IRON+RESONANCE"",""keywords"":""Expose 4|Bleed 3|Vulnerable 2|Regen 3"",""unlockLevel"":""19"",""startingHand"":""""}"
card_oni_hunter_the_mirror_breaks	The Mirror Breaks	You have reached the edge and chosen not to cross it. This choice, made consciously under pressure, has crystallized into something structural. Cleanse all dissolution-sourced debuffs from yourself. You are immune to Echomind dissolution for the rest of this combat — no force can push your Echomind out of alignment. Gain Fortify for 2 turns. Once per combat.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""2"",""cardType"":""Power"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Cleanse|Fortify"",""unlockLevel"":""15"",""startingHand"":""""}"
card_oni_hunter_veil_sight	Veil Sight	Your perception extends into the resonant layer of the Iron Afterlife. You can see Iron Afterlife entities regardless of their visibility status. You can read the emotional resonance of locations — whether something died nearby, approximately when, and whether the death was violent. Iron Afterlife entities recognize you as a Hunter on sight.	passive				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""1"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""9"",""startingHand"":""""}"
card_oni_hunter_void_cascade	Void Cascade	The void-edge quality your weapons have absorbed erupts outward. Deal 20 + RESONANCE resonant damage to all enemies within reach (calculated separately). Against Shell-states and Iron Afterlife entities, this damage cannot be mitigated by any resistance or immunity. Apply Expose 2 to all targets hit.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":""20"",""damageStat"":""RESONANCE"",""keywords"":""Expose 2|Pierce"",""unlockLevel"":""17"",""startingHand"":""""}"
card_oni_hunter_void_strike	Void Strike	A disruption strike tuned for the specific resonant frequencies of enhancement failure and spiritual dissolution. Deal 6 + IRON damage. Against Shell-states, Resonance-Broken individuals, and Iron Afterlife entities, add RESONANCE to the damage — the void-edge quality of your weapon finds exactly what it was built to find.	core_ability				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""1"",""cardType"":""Attack"",""baseDamage"":""6"",""damageStat"":""IRON"",""keywords"":"""",""unlockLevel"":""1"",""startingHand"":""true""}"
card_oni_hunter_void_edge_attunement	Void-Edge Attunement	Your weapons have absorbed enough resonant disruption energy to carry a permanent void-edge quality. Your attacks against Shell-states, Resonance-Broken individuals, and Iron Afterlife entities deal + RESONANCE additional damage that cannot be reduced by any of those creatures' resistances or immunities.	passive				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:oni_hunter"",""tier"":""1"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""5"",""startingHand"":""""}"
card_forge_tender_black_forge_resurrection	Black Forge Resurrection	You perform a procedure the Wire Market would call impossible and the Sutensai would call profane. A creature that has been dead for up to 1 hour (and whose Echomind has not fully integrated into the Iron Afterlife) is restored to 1 HP. This requires your full action and full concentration. The restored creature bears a modification scar visible to any Echomind-reader — they have come back from the edge. Once per combat (or scene).	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""16"",""startingHand"":""""}"
card_forge_tender_black_market_modification	Black Market Modification	You install an experimental, unlicensed modification in a willing adjacent ally. Choose one significant effect (work with GM — it should be powerful and have a meaningful downside reflecting its unofficial nature). The modification lasts until the end of the encounter. At the end of the encounter, the ally saves against Overheat 1 — the modification was not designed to last.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""2"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Overheat 1"",""unlockLevel"":""9"",""startingHand"":""""}"
card_forge_tender_cascade_prevention	Cascade Prevention	*Triggered when an ally you have maintained takes damage that reduces them to half HP or below.* You are immediately aware and respond. The triggering damage is reduced by your SIGNAL + RESONANCE. The ally also gains Guard 3 against the next hit this round.	subclass				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""1"",""cardType"":""Reaction"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Guard 3"",""unlockLevel"":""4"",""startingHand"":""""}"
card_forge_tender_cascade_wall	Cascade Wall	Your attunement to the allies you maintain becomes a defensive barrier. All allies you have maintained this combat gain Shield equal to your RESONANCE × 3 simultaneously. Until your next turn, any damage that would bring a maintained ally to 0 HP is reduced by your SIGNAL first — you intercept the cascade before it lands.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Shield"",""unlockLevel"":""14"",""startingHand"":""""}"
card_forge_tender_combat_triage	Combat Triage	You perform forge work in active combat without hesitation. Use Forge Mending as part of this card (no additional AP cost). The target recovers HP equal to 8 + RESONANCE. If the target is at 0 HP, they return to consciousness and may act on their next turn immediately — no disorientation.	power				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""1"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""7"",""startingHand"":""""}"
card_forge_tender_deep_keeper_bond	Deep Keeper Bond	Your resonance record of an ally becomes a two-way channel. Choose one ally you have maintained. Until end of combat: you know their precise HP at all times, they receive + RESONANCE bonus HP whenever they recover HP from any source, and when they make a defense roll (GM ruling), you may share your SIGNAL modifier to assist.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""2"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""15"",""startingHand"":""""}"
card_forge_tender_echomind_preservation	Echomind Preservation	*Triggered when an ally within 60 feet is reduced to 0 HP.* Capture a resonant impression of their Echomind in a prepared container you carry. The soul passes normally, but the impression is a perfect record of who they were at the moment of death — their knowledge, personality, history. Usable for testimony, resurrection assistance, or continued consultation. Additionally, the dying ally gains Regen 2 for their next 2 turns if they survive (stabilize at 1 HP rather than dying, once per combat for this ally).	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""2"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Regen 2"",""unlockLevel"":""10"",""startingHand"":""""}"
card_forge_tender_emergency_override	Emergency Override	You overclock an adjacent ally's enhancement network. Until their next turn: their movement speed doubles, they gain Shield equal to your SIGNAL × 2, and their next attack deals + SIGNAL additional damage. After this card resolves, the ally gains Overheat 1 — emergency work, not maintenance.	subclass				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""2"",""cardType"":""Power"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Shield|Overheat 1"",""unlockLevel"":""4"",""startingHand"":""""}"
card_forge_tender_emergency_overhaul	Emergency Overhaul	A rapid, comprehensive emergency repair on one adjacent ally. They recover to full HP. All conditions and debuffs are removed from them. One of their expended once-per-combat cards is restored. For the next 2 turns, their attacks deal + SIGNAL additional damage — their enhancements are running hot. After those 2 turns, they gain Overheat 2 as the system settles.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Cleanse"",""unlockLevel"":""17"",""startingHand"":""""}"
card_forge_tender_enhancement_read	Enhancement Read	Diagnostically read one target's enhancement configuration. Learn: their approximate remaining HP (GM: full/bloodied/critical), any enhancement abilities they are suppressing or charging, and one specific vulnerability in their network (GM provides — a damage type, a disruptive condition, or an unprotected area). In combat, this information is immediately useful: apply Expose 1 to the target.	level_up				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""1"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Expose 1"",""unlockLevel"":""2"",""startingHand"":""""}"
card_forge_tender_enhancement_stabilization	Enhancement Stabilization	When an ally within 30 feet would be reduced to 0 HP, you may use your Reaction to stabilize their enhancement network. They remain at 1 HP instead of falling. This Reaction may be used once per round. Additionally, stabilized allies gain Shield 4 from the emergency resonant reinforcement.	core_ability				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""0"",""cardType"":""Passive — Reaction"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Shield 4"",""unlockLevel"":""1"",""startingHand"":""true""}"
card_forge_tender_final_tendance	Final Tendance	A 10-minute forge work (or a combat-compressed version as a full-turn action) that permanently grants one willing ally any one benefit from the Master Forge Work list, for free. In combat, the compressed version instead grants: one ally immediately recovers to full HP, all their debuffs are Cleansed, and they gain Guard 8 and Regen 4 for 3 turns.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Cleanse|Guard 8|Regen 4"",""unlockLevel"":""19"",""startingHand"":""""}"
card_forge_tender_forbidden_technique	Forbidden Technique	Apply one blacklisted procedure to an adjacent ally. Choose one: **Resonance Weapon** — their unarmed/weapon attacks deal + RESONANCE additional resonant damage until their next turn; **Signature Null** — they become undetectable to technological systems for 1 turn; **Pain Redirect** — they ignore all wound penalties and HP-based penalties for 1 turn; or **Emergency Enhancement** — the next Forge Mending targeting them heals triple the amount.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""2"",""cardType"":""Power"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Variable"",""unlockLevel"":""10"",""startingHand"":""""}"
card_forge_tender_forge_apotheosis	Forge Apotheosis	Your body has become a refinement instrument. All allies in the encounter simultaneously: recover HP equal to your RESONANCE × 3, gain Regen 3 for 3 turns, and have one debuff Cleansed. Until your next turn, all damage dealt to allies within 30 feet is reduced by your SIGNAL. Once per combat.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Regen 3|Cleanse"",""unlockLevel"":""18"",""startingHand"":""""}"
card_forge_tender_forge_mending	Forge Mending	Restore hit points to one ally within reach by repairing their enhancements and treating their wounds. The ally recovers 8 + RESONANCE HP. If the ally is below half HP, add your SIGNAL to the recovery — you identify the cascade points and address them first. This is the work. This is always the work.	core_ability				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""1"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""1"",""startingHand"":""true""}"
card_forge_tender_forge_surge	Forge Surge	You direct an intense burst of resonant energy through one ally's enhancement network. They immediately recover 14 + RESONANCE HP. They gain Shield 8 and Regen 3 for 2 turns. Their next attack deals + SIGNAL additional damage — the surge flows through them into their strike.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""2"",""cardType"":""Power"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Shield 8|Regen 3"",""unlockLevel"":""12"",""startingHand"":""""}"
card_forge_tender_forge_under_fire	Forge Under Fire	You cannot be interrupted while performing Forge actions — not by noise, movement, or damage to your own body mid-work. Your forge cards cannot fail due to environmental conditions. Once per combat, you may perform a Forge card on a target at range up to 30 feet (voice-guided resonance channel rather than physical contact).	passive				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""1"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""7"",""startingHand"":""""}"
card_forge_tender_fortify_ally	Fortify Ally	Reinforce one ally's enhancement network against incoming harm. They gain Shield equal to your SIGNAL × 2. Until your next turn, the first control effect that lands on them (Root, Stagger, Silence) has its duration reduced by 1 turn — your fortification provides partial Echomind insulation.	subclass				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""1"",""cardType"":""Defense"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Shield"",""unlockLevel"":""3"",""startingHand"":""""}"
card_forge_tender_iron_sutra_rite	Iron Sutra Rite	You perform the Iron Sutra Rite — forge work as prayer. One willing adjacent ally: recovers to full HP, all conditions removed, and for the next 2 turns their attacks deal + RESONANCE additional damage and all HP they recover is doubled. This requires your full turn and the ally's cooperation. The Rite requires quiet focus — you cannot play other cards this turn.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Cleanse"",""unlockLevel"":""9"",""startingHand"":""""}"
card_forge_tender_keeper_s_bond	Keeper's Bond	For each ally you have used Forge Mending on this combat, you maintain a resonant record. You always know their approximate HP status (full/bloodied/critical). When another character uses a healing card on a bonded ally, add your RESONANCE to the amount healed — your record improves every healer's work on people you know.	passive				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""1"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""5"",""startingHand"":""""}"
card_forge_tender_keeper_s_wrath	Keeper's Wrath	When an enemy harms someone you are responsible for, your response is precise and technical. Deal 12 + SIGNAL signal damage to one target. Apply Stagger and Expose 2. This card costs 0 AP if played in the same turn that one of your maintained allies was reduced to half HP or below.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""2"",""cardType"":""Attack"",""baseDamage"":""12"",""damageStat"":""SIGNAL"",""keywords"":""Stagger|Expose 2"",""unlockLevel"":""17"",""startingHand"":""""}"
card_forge_tender_living_resonance	Living Resonance	Your presence becomes a healing field. Until your next turn: all allies within 30 feet gain Regen 4. All incoming damage to allies within 30 feet is reduced by your RESONANCE. Any ally within 30 feet who uses a card that costs 2 or more AP also recovers 6 HP as a resonant echo from your active maintenance. Once per combat.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Regen 4"",""unlockLevel"":""18"",""startingHand"":""""}"
card_forge_tender_master_forge_work	Master Forge Work	A transformative forge procedure on one willing adjacent ally. Choose one permanent effect (requires rare materials for out-of-combat use; in combat, the effect lasts this encounter): **Enhancement Augmentation** — add + SIGNAL to one of their attack cards for the rest of combat; **Resonance Hardening** — they gain resistance to one damage type (incoming damage of that type reduced by your RESONANCE); or **Echomind Anchor** — their class features cannot be disrupted by Silence or Stagger for the rest of combat.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Variable"",""unlockLevel"":""11"",""startingHand"":""""}"
card_forge_tender_network_maintenance	Network Maintenance	Comprehensive maintenance of all allies in the encounter. Each ally recovers 4 + RESONANCE HP. Each ally gains Guard 2 against the next hit they take. This card represents the Forge Tender's ambient presence — being in a fight with a good Tender means you are always slightly better maintained than you would otherwise be.	level_up				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""1"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Guard 2"",""unlockLevel"":""2"",""startingHand"":""""}"
card_forge_tender_overhaul	Overhaul	Perform comprehensive repairs on one adjacent ally during a pause in combat. They recover 16 + RESONANCE HP. Remove one ongoing condition (Bleed, Burn, Overheat — one stack cleared). Their next attack this combat deals + SIGNAL additional damage — the overhaul temporarily optimizes their offensive output.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""2"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Cleanse"",""unlockLevel"":""14"",""startingHand"":""""}"
card_forge_tender_resonance_flood	Resonance Flood	You flood the encounter with healing resonance. All allies simultaneously recover 12 + RESONANCE HP. All allies gain Regen 2 for 3 turns. All allies have one debuff Cleansed. Enemies with heavy enhancement integration take 8 + RESONANCE resonant damage — the flood destabilizes uncalibrated systems.	subclass_power				"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""3"",""cardType"":""Signature"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Regen 2"",""unlockLevel"":""16"",""startingHand"":""""}"
card_forge_tender_resonance_mastery	Resonance Mastery	Your understanding of the resonant relationship between Echomind and enhancement is deep enough to be therapeutic. Remove the Stagger or Root condition from one adjacent ally as an action (enhancement network realignment). Additionally, this turn, your Forge Mending heals all allies within 5 feet of the target for half the rolled amount — the resonance radiates.	power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""2"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Stagger|Root"",""unlockLevel"":""6"",""startingHand"":""""}"
card_forge_tender_resonance_reading	Resonance Reading	You read the state of any person's enhancement network as naturally as reading their face. Once per turn as a free action, you know one ally's precise current HP and any ongoing conditions affecting them. Your Forge Mending cards deal + RESONANCE additional healing against any ally you have read this turn. The knowledge is sacred. What you do with it is your ethics, not your capability.	passive				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""0"",""cardType"":""Passive"",""baseDamage"":"""",""damageStat"":"""",""keywords"":"""",""unlockLevel"":""1"",""startingHand"":""true""}"
card_forge_tender_resonant_barrier	Resonant Barrier	You project a resonant field anchored to your Echomind. All allies within 15 feet gain Shield equal to your RESONANCE × 2. Until your next turn, the first attack that would reduce any shielded ally to 0 HP instead leaves them at 1 HP — the barrier intercepts the cascade. Once per combat per ally.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""2"",""cardType"":""Defense"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Shield"",""unlockLevel"":""13"",""startingHand"":""""}"
card_forge_tender_restoration_protocol	Restoration Protocol	A focused restoration procedure on one ally within reach. They recover 16 + RESONANCE HP. Remove one ongoing condition from them (Bleed stack, Burn stack, Overheat stack, or a single status condition like Silence, Root, or Stagger). If the ally is unconscious from HP damage, they regain consciousness immediately.	subclass				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""2"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Cleanse"",""unlockLevel"":""3"",""startingHand"":""""}"
card_forge_tender_sacred_maintenance	Sacred Maintenance	Your comprehensive maintenance carries spiritual resonance — forge work as prayer. One ally you touch recovers 8 + RESONANCE HP. They also gain Fortify for 1 turn — their next resistance check (GM ruling) is treated as a success. If the ally is a Sutensai or Iron Sutra-aligned character, add SIGNAL to the HP recovery.	power				"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""1"",""cardType"":""Utility"",""baseDamage"":"""",""damageStat"":"""",""keywords"":""Fortify"",""unlockLevel"":""8"",""startingHand"":""""}"
card_forge_tender_signal_disruption	Signal Disruption	You read an enemy's enhancement configuration and disrupt it precisely. Deal 10 + SIGNAL signal damage. Apply Silence and Stagger. If your SIGNAL exceeds their SIGNAL, apply Overheat 2 as well — you found the cascade point and triggered it deliberately.	subclass_power				"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""class:forge_tender"",""tier"":""2"",""cardType"":""Control"",""baseDamage"":""10"",""damageStat"":""SIGNAL"",""keywords"":""Silence|Stagger|Overheat 2"",""unlockLevel"":""12"",""startingHand"":""""}"
