Name	Size	Type	Subtype	Alignment	Armor Class	Initiative	Hit Points	Hit Dice	Speed	Fly	Strength	Strength Saving Throw	Dexterity	Dexterity Saving Throw	Constitution	Constitution Saving Throw	Intelligence	Intelligence Saving Throw	Wisdom	Wisdom Saving Throw	Charisma	Charisma Saving Throw	Resistances	Immunities	Passive Perception	Darkvision	Languages	Challenge Rating	Description	Image
Cloaker	Large	Aberration		Chaotic Neutral	14	5	91	14d10 + 14	10	40	17	3	15	2	12	1	13	1	14	2	7	-2		Frightened	12	120	Deep Speech, Undercommon	8	# Traits\n**Light Sensitivity**\nWhile in Bright Light, the cloaker has\n\n# Actions\n**Multiattack**\nThe cloaker makes one Attach attack and\n\n**Attach**\nMelee Attack Roll: +6, reach 5 ft. Hit: 13 (3d6\n+ 3) Piercing damage. If the target is a Large or smaller\ncreature, the cloaker attaches to it. While the cloaker\nis attached, the target has the Blinded condition, and\nthe cloaker can’t make Attach attacks against other tar-\n\n**gets**\nIn addition, the cloaker halves the damage it takes\n(round down), and the target takes the same amount\n\n**of damage**\nThe cloaker can detach itself by spending 5 feet of\n\n**movement**\nThe target or a creature within 5 feet of it\ncan take an action to try to detach the cloaker, doing so\nby succeeding on a DC 14 Strength (Athletics) check.\n\n**Tail**\nMelee Attack Roll: +6, reach 10 ft. Hit: 8 (1d10\n+ 3) Slashing damage.\n\n# Bonus Actions\n**Moan**\nWisdom Saving Throw: DC 13, each creature\n\n**in a 60-foot Emanation originating from the cloaker**\nFailure: The target has the Frightened condition until\n\n**the end of the cloaker’s next turn**\nSuccess: The target is\n\n**immune to this cloaker’s Moan for the next 24 hours**\nPhantasms (Recharge after a Short or Long Rest). The\ncloaker casts the Mirror Image spell, requiring no spell\ncomponents and using Wisdom as the spellcasting abil-\n\n**ity**\nThe spell ends early if the cloaker starts or ends its\n\n**turn in Bright Light**\nCloud Giant	
Cloud Giant	Huge	Giant		Neutral	14	4	200	16d12 + 96	40	20	27	8	10	0	22	10	12	1	16	7	16	3			21	0	Common, Giant	9	# Actions\n**Multiattack**\nThe giant makes two attacks, using Thun-\n\n**derous Mace or Thundercloud in any combination**\nIt\ncan replace one attack with a use of Spellcasting to cast\n\n**Thunderous Mace**\nMelee Attack Roll: +12, reach 10\n\n**ft**\nHit: 21 (3d8 + 8) Bludgeoning damage plus 7 (2d6)\n\n**Thundercloud**\nRanged Attack Roll: +12, range 240\n\n**ft**\nHit: 18 (3d6 + 8) Thunder damage, and the target\nhas the Incapacitated condition until the end of its\n\n**Spellcasting**\nThe giant casts one of the following spells,\nrequiring no Material components and using Charisma\nas the spellcasting ability (spell save DC 15):\nAt Will: Detect Magic , Fog Cloud , Light\n1/Day Each: Control Weather , Gaseous Form ,\nTelekinesis\n\n# Bonus Actions\n**Misty Step**\nThe giant casts the Misty Step spell, using	
Cockatrice	Small	Monstrosity		Unaligned	11	1	22	5d6 + 5	20	40	6	-2	12	1	12	1	2	-4	13	1	5	-3		Petrified	11	60	None	1/2	# Actions\n**Petrifying Bite**\nMelee Attack Roll: +3, reach 5 ft. Hit:\n3 (1d4 + 1) Piercing damage. If the target is a creature,\n\n**it is subjected to the following effect**\nConstitution\nSaving Throw: DC 11. First Failure: The target has the\n\n**Restrained condition**\nThe target repeats the save at the\nend of its next turn if it is still Restrained, ending the\n\n**effect on itself on a success**\nSecond Failure: The target\nhas the Petrified condition, instead of the estrained\ncondition, for 24 hours.	
Commoner	Medium, Small	Humanoid		Neutral	10	0	4	1d8	30	0	10	0	10	0	10	0	10	0	10	0	10	0			10	0	Common	0	# Traits\n**Training**\nThe commoner has proficiency in one skill of\nthe GM’s choice and has Advantage whenever it makes\n\n# Actions\n**Club**\nMelee Attack Roll: +2, reach 5 ft. Hit: 2 (1d4)	
Copper Dragon Wyrmling	Medium	Dragon	Metallic	Chaotic Good	16	3	22	4d8 + 4	30	60	15	2	12	3	13	1	14	2	11	2	13	1		Acid	14	60	Draconic	1		
Couatl	Medium	Celestial		Lawful Good	19	5	60	8d8 + 24	30	90	16	3	20	5	17	5	18	4	20	7	18	4	Bludgeoning, Piercing, Slashing	Psychic, Radiant	15	0	All	4	# Traits\n**Shielded Mind**\nThe couatl’s thoughts can’t be read by\nany means, and other creatures can communicate with\n\n# Actions\n**Bite**\nMelee Attack Roll: +7, reach 5 ft. Hit: 11 (1d12\n+ 5) Piercing damage, and the target has the Poisoned\n\n**Constrict**\nStrength Saving Throw: DC 15, one Medium\n\n**or smaller creature the couatl can see within 5 feet**\nFailure: 8 (1d6 + 5) Bludgeoning damage. The target has\nthe Grappled condition (escape DC 13), and it has the\n\n**Spellcasting**\nThe couatl casts one of the following\nspells, requiring no spell components and using Wis-\ndom as the spellcasting ability (spell save DC 15):\nAt Will: Detect Evil and Good , Detect Magic , Detect\nThoughts , Shapechange (Beast or Humanoid form\nonly, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points re-\nquired to maintain the spell)\n1/Day Each: Create Food and Water , Dream , Greater\nRestoration , Scrying , Sleep\n\n# Bonus Actions\nDivine Aid (2/Day). The couatl casts Bless , Lesser Res-\ntoration , or Sanctuary , requiring no spell components	
Cultist	Medium, Small	Humanoid		Neutral	12	1	9	2d8	30	0	11	0	12	1	10	0	10	0	11	2	10	0			10	0	Common	1/8	# Actions\n**Ritual Sickle**\nMelee Attack Roll: +3, reach 5 ft. Hit: 3\n(1d4 + 1) Slashing damage plus 1 Necrotic damage.	
Cultist Fanatic	Medium, Small	Humanoid		Neutral	13	2	44	8d8 + 8	30	0	11	0	14	2	12	1	10	0	14	4	13	1			12	0	Common	2	# Actions\n**Pact Blade**\nMelee Attack Roll: +4, reach 5 ft.\nHit : 6 (1d8 + 2) Slashing damage plus 7 (2d6) Ne-\n\n**Spellcasting**\nThe cultist casts one of the following\nspells, using Wisdom as the spellcasting ability (spell\nsave DC 12, +4 to hit with spell attacks):\nAt Will: Light , Thaumaturgy\n2/Day: Command\n1/Day: Hold Person\n\n# Bonus Actions\nSpiritual Weapon (2/Day). The cultist casts the Spiritual\nWeapon spell, using the same spellcasting ability as	
Darkmantle	Small	Aberration		Unaligned	11	3	22	5d6 + 5	0	0	16	3	12	1	13	1	2	-4	10	0	5	-3			10	0	None	1/2	# Actions\n**Crush**\nMelee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6\n+ 3) Bludgeoning damage, and the darkmantle attaches\n\n**to the target**\nIf the target is a Medium or smaller crea-\nture and the darkmantle had Advantage on the attack\nroll, it covers the target, which has the Blinded condi-\ntion and is suffocating while the darkmantle is attached\n\n**in this way**\nWhile attached to a target, the darkmantle can attack\n\n**only the target but has Advantage on its attack rolls**\nIts\npeed becomes 0, it cant benefit from any bonus to its\nSpeed, and it moves with the target.\nA creature can take an action to try to detach the\ndarkmantle from itself, doing so with a successful DC\n13 Strength (Athletics) check. On its turn, the darkman-\n\n**tle can detach itself by using 5 feet of movement**\nDarkness Aura (1/Day). agical arkness fills a 15foot\n\n**Emanation originating from the darkmantle**\nThis effect\nlasts while the darkmantle maintains Concentration\non it, up to 10 minutes. Darkvision can’t penetrate this\narea, and no light can illuminate it.	
Death Dog	Medium	Monstrosity		Neutral Evil	12	2	39	6d8 + 12	40	0	15	2	14	2	14	2	3	-4	13	1	6	-2		Blinded, Charmed, Deafened, Frightened, Stunned, Unconscious	15	120	None	1	# Actions\n**Multiattack**\nThe death dog makes two Bite attacks.\n\n**Bite**\nMelee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4\n+ 2) Piercing damage. If the target is a creature, it is\n\n**subjected to the following effect**\nConstitution Saving\nThrow: DC 12. First Failure: The target has the Poisoned\n\n**condition**\nWhile Poisoned, the target’s Hit Point max-	
Deva	Medium	Celestial	Angel	Lawful Good	17	4	229	27d8 + 108	30	90	18	4	18	4	18	4	17	3	20	9	20	9	Radiant	Charmed, ExExhaustion, Frightened	19	120	All	10	# Traits\n**Exalted Restoration**\nIf the deva dies outside Mount\nCelestia, its body disappears, and it gains a new body\ninstantly, reviving with all its Hit Points somewhere in\n\n**Magic Resistance**\nThe deva has Advantage on saving\n\n# Actions\n**Multiattack**\nThe deva makes two Holy Mace attacks.\n\n**Holy Mace**\nMelee Attack Roll: +8, reach 5 ft. Hit:\n7 (1d6 + 4) Bludgeoning damage plus 18 (4d8) Radi-\n\n**Spellcasting**\nThe deva casts one of the following spells,\nrequiring no Material components and using Charisma\nas the spellcasting ability (spell save DC 17):\nAt Will: Detect Evil and Good , Shapechange (Beast or\nHumanoid form only, no Temporary Hit Points gained\nfrom the spell, and no Concentration or Temporary\nHit Points required to maintain the spell)\n1/Day Each: Commune , Raise Dead\n\n# Bonus Actions\nDivine Aid (2/Day). The deva casts Cure Wounds ,\nLesser Restoration , or Remove Curse , using the same\n**spellcasting ability as Spellcasting**\nDjinni	
Djinni	Large	Elemental	Genie	Neutral	17	2	218	19d10 + 114	30	90	21	5	15	6	22	6	15	2	16	7	20	5		Lightning, Thunder	13	120	Primordial (Auran)	11	# Traits\n**Elemental Restoration**\nIf the djinni dies outside the\nElemental Plane of Air, its body dissolves into mist, and\nit gains a new body in 1d4 days, reviving with all its Hit\n\n**Magic Resistance**\nThe djinni has Advantage on saving\n\n**Wishes**\nThe djinni has a 30 percent chance of knowing\n\n**the Wish spell**\nIf the djinni knows it, the djinni can cast\nit only on behalf of a non-genie creature who commu-\n\n**nicates a wish in a way the djinni can understand**\nIf the\ndjinni casts the spell for the creature, the djinni suffers\n\n**none of the spell’s stress**\nOnce the djinni has cast it\nthree times, the djinni can’t do so again for 365 days.\n\n# Actions\n**Multiattack**\nThe djinni makes three attacks, using\n\n**Storm Blade**\nMelee Attack Roll: +9, reach 5 feet.\nHit: 12 (2d6 + 5) Slashing damage plus 7 (2d6) Light-\n\n**Storm Bolt**\nRanged Attack Roll: +9, range 120 feet.\nHit: 13 (3d8) Thunder damage. If the target is a Large or\nsmaller creature, it has the Prone condition.\n\n**Create Whirlwind**\nThe djinni conjures a whirlwind at\n\n**a point it can see ithin 120 feet**\nThe hirlind fills a\n20-foot-radius, 60-foot-high Cylinder centered on that\n\n**point**\nThe whirlwind lasts until the djinni’s Concentra-\n\n**tion on it ends**\nThe djinni can move the whirlwind up\n\n**to 20 feet at the start of each of its turns**\nWhenever the whirlwind enters a creature’s space or\na creature enters the whirlwind, that creature is sub-\n\n**jected to the following effect**\nStrength Saving Throw:\nDC 17 (a creature makes this save only once per turn,\nand the djinni is unaffected). Failure: While in the\nwhirlwind, the target has the Restrained condition\n\n**and moves with the whirlwind**\nAt the start of each of\nits turns, the Restrained target takes 21 (6d6) Thunder	
Doppelganger	Medium	Monstrosity		Neutral	14	4	52	8d8 + 16	30	0	11	0	18	4	14	2	11	0	12	1	14	2		Charmed	11	60	Common plus three other languages	3	# Actions\n**Multiattack**\nThe doppelganger makes two Slam attacks\n\n**Slam**\nMelee Attack Roll: +6 (with Advantage during the\nfirst round of each combat), reach 5 ft. Hit: 11 (2d6 + 4)\n\n**Read Thoughts**\nThe doppelganger casts Detect\nThoughts , requiring no spell components and using\nCharisma as the spellcasting ability (spell save DC 12).\nUnsettling Visage (Recharge 6). Wisdom Saving Throw:\nDC 12, each creature in a 15-foot Emanation originating\n\n**from the doppelganger that can see the doppelganger**\nFailure: The target has the Frightened condition and re-\npeats the save at the end of each of its turns, ending the\n\n**effect on itself on a success**\nAfter 1 minute, it succeeds\n\n# Bonus Actions\n**Shape-Shift**\nThe doppelganger shape-shifts into a Me-\ndium or Small Humanoid, or it returns to its true form.\nIts game statistics, other than its size, are the same in\n\n**each form**\nAny equipment it is wearing or carrying isn’t	
Dragon Turtle	Gargantuan	Dragon		Neutral	20	6	356	23d20 + 115	20	0	25	7	10	0	20	11	10	0	12	7	12	1	Fire		11	120	Draconic, Primordial (Aquan)	17	# Traits\n**Amphibious**\nThe dragon can breathe air and water.\n\n# Actions\n**Multiattack**\nThe dragon makes three Bite attacks. It\n\n**Bite**\nMelee Attack Roll: +13, reach 15 ft. Hit: 23\n(3d10 + 7) Piercing damage plus 7 (2d6) Fire damage.\nBeing underwater doesn’t grant Resistance to this\n\n**Tail**\nMelee Attack Roll: +13, reach 15 ft. Hit: 18 (2d10\n+ 7) Bludgeoning damage. If the target is a Huge or\nsmaller creature, it has the Prone condition.\nSteam Breath (Recharge 5–6). Constitution Saving\nThrow: DC 19, each creature in a 60-foot Cone. Failure:\n56 (16d6) Fire damage. Success: Half damage. Failure or\nSuccess: Being underwater doesn’t grant Resistance to	
Dretch	Small	Fiend	Demon	Chaotic Evil	11	0	18	4d6 + 4	20	0	12	1	11	0	12	1	5	-3	8	-1	3	-4	Cold, Fire, Lightning creatures that understand Abyssal)	Poison, Poisoned	9	60	Abyssal	1/4	# Actions\n**Rend**\nMelee Attack Roll: +3, reach 5 ft. Hit: 4 (1d6 + 1)\n\n**Slashing damage**\nFetid Cloud (1/Day). Constitution Saving Throw: DC 11,\neach creature in a 10-foot Emanation originating from\n\n**the dretch**\nFailure: The target has the Poisoned condi-\n\n**tion until the end of its next turn**\nWhile Poisoned, the\ncreature can take either an action or a Bonus Action on\nits turn, not both, and it can’t take Reactions.	
Drider	Large	Monstrosity		Chaotic Evil	19	4	123	13d10 + 52	30	0	16	3	19	4	18	4	13	1	16	3	12	1			16	120	Elvish, Undercommon	6	# Traits\n**Spider Climb**\nThe drider can climb difficult surfaces,\nincluding along ceilings, without needing to make an\n\n**Sunlight Sensitivity**\nWhile in sunlight, the drider has\n\n**Web Walker**\nThe drider ignores movement restrictions\ncaused by webs, and the drider knows the location of\n\n# Actions\n**Multiattack**\nThe drider makes three attacks, using\n\n**Foreleg**\nMelee Attack Roll: +7, reach 10 ft. Hit: 13 (2d8\n+ 4) Piercing damage.\n\n**Poison Burst**\nRanged Attack Roll: +6, range 120 ft. Hit:\n13 (3d6 + 3) Poison damage.\n\n# Bonus Actions\nMagic of the Spider Queen (Recharge 5–6). The drider\ncasts Darkness , Faerie Fire , or Web , requiring no Mate-\nrial components and using Wisdom as the spellcasting\nability (spell save DC 14). Druid	
Druid	Medium, Small	Humanoid	Druid	Neutral	13	1	44	8d8 + 8	30	0	10	0	12	1	13	1	12	1	16	3	11	0			15	0	Common, Druidic, Sylvan	2	# Actions\n**Multiattack**\nThe druid makes two attacks, using Vine\n\n**Vine Staff**\nMelee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8\n+ 3) Bludgeoning damage plus 2 (1d4) Poison damage.\n\n**Verdant Wisp**\nRanged Attack Roll: +5, range 90 ft. Hit:\n10 (3d6) Radiant damage.\n\n**Spellcasting**\nThe druid casts one of the following\nspells, using Wisdom as the spellcasting ability (spell\nsave DC 13):\nAt Will: Druidcraft , Speak with Animals\n2/Day Each: Entangle , Thunderwave\n1/Day Each: Animal Messenger , Long-\nstrider , Moonbeam	
Dryad	Medium	Fey		Neutral	16	1	22	5d8	30	0	10	0	12	1	11	0	14	2	15	2	18	4			14	60	Elvish, Sylvan	1	# Traits\n**Magic Resistance**\nThe dryad has Advantage on saving\n\n**Speak with Beasts and Plants**\nThe dryad can com-\nmunicate with Beasts and Plants as if they shared\n\n# Actions\n**Multiattack**\nThe dryad makes one Vine Lash or\nThorn Burst attack, and it can use Spellcasting to cast\n\n**Vine Lash**\nMelee Attack Roll: +6, reach 10 ft. Hit: 8\n(1d8 + 4) Slashing damage.\n\n**Thorn Burst**\nRanged Attack Roll: +6, range 60 ft. Hit: 7\n(1d6 + 4) Piercing damage.\n\n**Spellcasting**\nThe dryad casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 14):\nAt Will: Animal Friendship , Charm Monster (lasts 24\nhours; ends early if the dryad casts the spell again),\nDruidcraft\n1/Day Each: Entangle , Pass without Trace\n\n# Bonus Actions\n**Tree Stride**\nIf within 5 feet of a Large or bigger tree, the\ndryad teleports to an unoccupied space within 5 feet\nof a second Large or bigger tree that is within 60 feet of	
Dust Mephit	Small	Elemental		Neutral Evil	12	2	17	5d6	30	30	5	-3	14	2	10	0	9	-1	11	0	10	0		Poison, Exhaustion, Poisoned	12	60	Primordial (Auran, Terran)	1/2	# Traits\n**Death Burst**\nThe mephit explodes when it dies. Dex-\nterity Saving Throw: DC 10, each creature in a 5-foot\n\n**Emanation originating from the mephit**\nFailure: 5 (2d4)\n\n**Bludgeoning damage**\nSuccess: Half damage.\n\n# Actions\n**Claw**\nMelee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2)\n\n**Slashing damage**\nBlinding Breath (Recharge 6). Dexterity Saving Throw:\nDC 10, each creature in a 15-foot Cone. Failure: The\ntarget has the Blinded condition until the end of the\n\n**mephit’s next turn**\nSleep (1/Day). The mephit casts the Sleep spell, requir-\ning no spell components and using Charisma as the\nspellcasting ability (spell save DC 10).	
Earth Elemental	Large	Elemental		Neutral	17	1	147	14d10 + 70	30	0	20	5	8	-1	20	5	5	-3	10	0	5	-3		Poison, Exhaustion, Paralyzed, Petrified, Poisoned, Unconscious	10	60	Primordial (Terran)	5	# Traits\n**Earth Glide**\nThe elemental can burrow through\nnonmagical, unworked earth and stone. While do-\ning so, the elemental doesn’t disturb the material it\n\n**Siege Monster**\nThe elemental deals double damage to\n\n# Actions\n**Multiattack**\nThe elemental makes two attacks, using\n\n**Slam**\nMelee Attack Roll: +8, reach 10 ft. Hit: 14 (2d8\n+ 5) Bludgeoning damage. Rock Launch. Ranged Attack Roll: +8, range 60 ft. Hit:\n8 (1d6 + 5) Bludgeoning damage. If the target is a Large\nor smaller creature, it has the Prone condition.	
Efreeti	Large	Elemental	Genie	Neutral	17	1	212	17d10 + 119	40	60	22	6	12	1	24	7	16	3	15	6	19	8		Fire	12	120	Primordial (Ignan)	11	# Traits\n**Elemental Restoration**\nIf the efreeti dies outside the\nElemental Plane of Fire, its body dissolves into ash, and\nit gains a new body in 1d4 days, reviving with all its Hit\n\n**Magic Resistance**\nThe efreeti has Advantage on saving\n\n**Wishes**\nThe efreeti has a 30 percent chance of know-\n\n**ing the Wish spell**\nIf the efreeti knows it, the efreeti\ncan cast it only on behalf of a non-genie creature who\ncommunicates a wish in a way the efreeti can under-\n\n**stand**\nIf the efreeti casts the spell for the creature, the\n\n**efreeti suffers none of the spell’s stress**\nOnce the efreeti\nhas cast it three times, the efreeti can’t do so again\n\n# Actions\n**Multiattack**\nThe efreeti makes three attacks, using\n\n**Heated Blade**\nMelee Attack Roll: +10, reach 5 ft.\nHit: 13 (2d6 + 6) Slashing damage plus 13 (2d12)\n\n**Hurl Flame**\nRanged Attack Roll: +8, range 120 ft. Hit:\n24 (7d6) Fire damage.\n\n**Spellcasting**\nThe efreeti casts one of the following\nspells, requiring no Material components and using\nCharisma as the spellcasting ability (spell save DC 16):\nAt Will: Detect Magic , Elementalism\n1/Day Each: Gaseous Form , Invisibility , Major Image ,\nPlane Shift , Tongues , Wall of Fire (level 7 version)	
Erinyes	Medium	Fiend	Devil	Lawful Evil	18	7	178	21d8 + 84	30	60	18	4	16	7	18	8	14	2	14	2	18	8	Cold	Fire, Poison, Poisoned	16	0	Infernal	12	# Traits\n**Diabolical Restoration**\nIf the erinyes dies outside the\nNine Hells, its body disappears in sulfurous smoke, and\nit gains a new body instantly, reviving with all its Hit\n\n**Magic Resistance**\nThe erinyes has Advantage on saving\n\n**Magic Rope**\nThe erinyes has a magic rope. While bear-\ning it, the erinyes can use the Entangling Rope action.\nThe rope has AC 20, HP 90, and Immunity to Poison\n\n**and Psychic damage**\nThe rope turns to dust if reduced\nto 0 Hit Points, if it is 5+ feet away from the erinyes\nfor 1 hour or more, or if the erinyes dies. If the rope is\ndamaged or destroyed, the erinyes can fully restore it\n\n# Actions\n**Multiattack**\nThe erinyes makes three Withering Sword\n\n**Withering Sword**\nMelee Attack Roll: +8, reach 5 ft.\nHit: 13 (2d8 + 4) Slashing damage plus 11 (2d10) Ne-\n\n**crotic damage**\nEntangling Rope (Requires Magic Rope). Strength\nSaving Throw: DC 16, one creature the erinyes can see\n\n**within 120 feet**\nFailure: 14 (4d6) Force damage, and the\ntarget has the Restrained condition until the rope is de-\nstroyed, the erinyes uses a Bonus Action to release the\ntarget, or the erinyes uses Entangling Rope again.\n\n# Reactions\n**Parry**\nTrigger: The erinyes is hit by a melee attack roll\n\n**while holding a weapon**\nResponse: The erinyes adds 4\nto its AC against that attack, possibly causing it to miss. Ettercap	
Ettercap	Medium	Monstrosity		Neutral Evil	13	2	44	8d8 + 8	30	0	14	2	15	2	13	1	7	-2	12	1	8	-1			13	60	None	2	# Traits\n**Spider Climb**\nThe ettercap can climb difficult surfaces,\nincluding along ceilings, without needing to make an\n\n**Web Walker**\nThe ettercap ignores movement re-\nstrictions caused by webs, and the ettercap knows\nthe location of any other creature in contact with\n\n# Actions\n**Multiattack**\nThe ettercap makes one Bite attack and\n\n**Bite**\nMelee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2)\nPiercing damage plus 2 (1d4) Poison damage, and the\ntarget has the Poisoned condition until the start of the\n\n**Claw**\nMelee Attack Roll: +4, reach 5 ft. Hit: 7 (2d4 + 2)\n\n**Slashing damage**\nWeb Strand (Recharge 5–6). Dexterity Saving Throw:\nDC 12, one Large or smaller creature the ettercap can\n\n**see within 30 feet**\nFailure: The target has the Restrained\ncondition until the web is destroyed (AC 10; HP 5;\nVulnerability to Fire damage; Immunity to Bludgeoning,\nPoison, and Psychic damage).\n\n# Bonus Actions\n**Reel**\nThe ettercap pulls one creature within 30 feet of\nitself that is Restrained by its Web Strand up to 25 feet	
Ettin	Large	Giant		Chaotic Evil	12	1	85	10d10 + 30	40	0	21	5	8	-1	17	3	6	-2	10	0	8	-1		Blinded, Charmed, Deafened, Frightened, Stunned, Unconscious	14	60	Giant	4	# Actions\n**Multiattack**\nThe ettin makes one Battleaxe attack and\n\n**Battleaxe**\nMelee Attack Roll: +7, reach 5 ft. Hit: 14\n(2d8 + 5) Slashing damage. If the target is a Large or\nsmaller creature, it has the Prone condition.\n\n**Morningstar**\nMelee Attack Roll: +7, reach 5 ft. Hit: 14\n(2d8 + 5) Piercing damage, and the target has Disad-\nvantage on the next attack roll it makes before the end	
Fire Elemental	Large	Elemental		Neutral	13	3	93	11d10 + 33	50	0	10	0	17	3	16	3	6	-2	10	0	7	-2	Bludgeoning, Piercing, Slashing Petrified, Poisoned, Prone, Restrained, nconscious	Fire, Poison, ExExhaustion, Grappled, Paralyzed	10	60	Primordial (Ignan)	5	# Traits\n**Fire Aura**\nAt the end of each of the elemental’s turns,\neach creature in a 10-foot Emanation originating from\nthe elemental takes 5 (1d10) Fire damage. Creatures and\n\n**Fire Form**\nThe elemental can move through a space as\nnarrow as 1 inch without expending extra movement\nto do so, and it can enter a creature’s space and stop\n\n**there**\nThe first time it enters a creatures space on a\nturn, that creature takes 5 (1d10) Fire damage.\n\n**Illumination**\nThe elemental sheds Bright Light in a 30-\n\n**foot radius and Dim Light for an additional 30 feet**\nWater Susceptibility. The elemental takes 3 (1d6) Cold\ndamage for every 5 feet the elemental moves in water\n\n# Actions\n**Multiattack**\nThe elemental makes two Burn attacks.\n\n**Burn**\nMelee Attack Roll: +6, reach 5 ft. Hit: 10 (2d6 +\n3) ire damage. f the target is a creature or a ammable\nobject, it starts burning.	
Fire Giant	Huge	Giant		Lawful Evil	18	3	162	13d12 + 78	30	0	25	7	9	3	23	10	10	0	14	2	13	5		Fire	16	0	Giant	9	# Actions\n**Multiattack**\nThe giant makes two attacks, using Flame\n\n**Flame Sword**\nMelee Attack Roll: +11, reach 10 ft.\nHit: 21 (4d6 + 7) Slashing damage plus 10 (3d6)\n\n**Hammer Throw**\nRanged Attack Roll: +11, range 60/240\n\n**ft**\nHit: 23 (3d10 + 7) Bludgeoning damage plus 4 (1d8)\nFire damage, and the target is pushed up to 15 feet\nstraight away from the giant and has Disadvantage\non the next attack roll it makes before the end of its	
Flesh Golem	Medium	Construct		Neutral	9	1	127	15d8 + 60	30	0	19	4	9	-1	18	4	6	-2	10	0	5	-3		Lightning, Poison, Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned	10	60	Understands Common plus one other language	5	# Traits\n**Aversion to Fire**\nIf the golem takes Fire damage, it has\nDisadvantage on attack rolls and ability checks until the\n\n**Berserk**\nWhenever the golem starts its turn Bloodied,\n\n**roll 1d6**\nOn a 6, the golem goes berserk. On each of\nits turns while berserk, the golem attacks the nearest\n\n**creature it can see**\nIf no creature is near enough to\nmove to and attack, the golem attacks an object. Once\nthe golem goes berserk, it remains so until it is de-\n\n**stroyed or it is no longer Bloodied**\nThe golem’s creator, if within 60 feet of the berserk\ngolem, can try to calm it by taking an action to make a\nDC 15 Charisma (Persuasion) check; the golem must be\n\n**able to hear its creator**\nIf this check succeeds, the go-\nlem ceases being berserk until the start of its next turn,\nat which point it resumes rolling for the Berserk trait\n\n**Immutable Form**\nThe golem can’t shape-shift.\n\n**Lightning Absorption**\nWhenever the golem is sub-\njected to Lightning damage, it regains a number of Hit\n\n**Magic Resistance**\nThe golem has Advantage on saving\n\n# Actions\n**Multiattack**\nThe golem makes two Slam attacks.\n\n**Slam**\nMelee Attack Roll: +7, reach 5 ft. Hit: 13 (2d8 +\n4) Bludgeoning damage plus 4 (1d8) Lightning damage.	
Frost Giant	Huge	Giant		Neutral Evil	15	2	149	13d12 + 65	0	0	23	6	9	-1	21	8	9	-1	10	3	12	4		Cold	13	0	Giant	8	# Actions\n**Multiattack**\nThe giant makes two attacks, using Frost\n\n**Frost Axe**\nMelee Attack Roll: +9, reach 10 ft. Hit: 19\n(2d12 + 6) Slashing damage plus 9 (2d8) Cold damage.\n\n**Great Bow**\nRanged Attack Roll: +9, range 150/600 ft.\nHit: 17 (2d10 + 6) Piercing damage plus 7 (2d6) Cold\ndamage, and the target’s Speed decreases by 10 feet\n\n# Bonus Actions\nWar Cry (Recharge 5–6). The giant or one creature of\nits choice that can see or hear it gains 16 (2d10 + 5)\nTemporary Hit Points and has Advantage on attack rolls	
Gargoyle	Medium	Elemental		Chaotic Evil	15	2	67	9d8 + 27	30	60	15	2	11	0	16	3	6	-2	11	0	7	-2		Poison, Exhaustion, Petrified, Poisoned	10	60	Primordial (Terran)	2	# Traits\n**Flyby**\nThe gargoyle doesn’t provoke an Opportunity\n\n# Actions\n**Multiattack**\nThe gargoyle makes two Claw attacks.\n\n**Claw**\nMelee Attack Roll: +4, reach 5 ft. Hit: 7 (2d4 + 2)	
